Name,x,y,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
14,-123.0283,42.1762,598,2015-04,20.6,1.8,9.8,17.7,1.4,0.89,15.15
14,-123.0283,42.1762,598,2015-05,29.93,6.7,14.7,22.7,5.4,1.39,20.15
14,-123.0283,42.1762,598,2015-06,9.35,11.6,21.2,30.9,7.5,3.71,36.68
14,-123.0283,42.1762,598,2015-07,12.45,14.5,23.6,32.7,9.1,4.81,40.06
14,-123.0283,42.1762,598,2015-08,1.95,12.1,21.9,31.8,7.1,4,38.41
14,-123.0283,42.1762,598,2015-09,2.99,7.5,17.2,27,4.9,2.55,29.28
14,-123.0283,42.1762,598,2015-10,9.84,5.3,14.3,23.3,4.5,1.62,21.29
14,-123.0283,42.1762,598,2015-11,53.25,-0.1,5.6,11.3,0.5,0.44,6.95
14,-123.0283,42.1762,598,2015-12,255.81,0.3,4,7.6,0.9,0.27,4.22
14,-123.0283,42.1762,598,2016-01,135.36,-0.1,4.5,9,0.4,0.31,4.97
14,-123.0283,42.1762,598,2016-02,38.88,1.2,7.2,13.1,2,0.46,7.96
14,-123.0283,42.1762,598,2016-03,113.32,2,8,14.1,2.4,0.48,9.22
14,-123.0283,42.1762,598,2016-04,50.3,4.4,12.5,20.7,3.9,1.03,17.74
14,-123.0283,42.1762,598,2016-05,18.06,6.9,14.9,23,5.8,1.24,20.03
14,-123.0283,42.1762,598,2016-06,19.71,9.6,18.9,28.2,7,2.6,31.08
14,-123.0283,42.1762,598,2016-07,9.86,11.4,20.9,30.3,8.4,3.27,34.36
14,-123.0283,42.1762,598,2016-08,0,11.4,22.5,33.6,6,4.72,44.52
14,-123.0283,42.1762,598,2016-09,1.15,6.6,16.6,26.7,4.5,2.12,27.65
14,-123.0283,42.1762,598,2016-10,198.89,5.3,10.9,16.6,5.5,0.57,10.58
14,-123.0283,42.1762,598,2016-11,59.13,3.1,8.6,14.1,3.4,0.45,8.73
14,-123.0283,42.1762,598,2016-12,127.55,-2.5,1.8,6.2,-1.6,0.19,3.36
14,-123.0283,42.1762,598,2017-01,138.04,-3.2,1.5,6.1,-2.5,0.26,4.03
14,-123.0283,42.1762,598,2017-02,181.29,0.8,5.7,10.7,0.6,0.36,6.69
14,-123.0283,42.1762,598,2017-03,70.65,2.4,8,13.5,3,0.27,8.05
14,-123.0283,42.1762,598,2017-04,44.75,1.9,8.7,15.4,1.9,0.48,10.97
14,-123.0283,42.1762,598,2017-05,20.14,5.8,14.8,23.7,4.8,1.34,23.23
14,-123.0283,42.1762,598,2017-06,13.27,9.7,18.4,27.1,7.8,2.08,28.19
14,-123.0283,42.1762,598,2017-07,0,12.3,22.4,32.6,8.8,3.45,38.72
14,-123.0283,42.1762,598,2017-08,9.52,13,23.2,33.4,8.2,4.3,42.3
14,-123.0283,42.1762,598,2017-09,7.04,9,17.6,26.2,6.8,2.37,26.35
14,-123.0283,42.1762,598,2017-10,23.68,2.5,11.6,20.7,1.5,1.07,17.9
14,-123.0283,42.1762,598,2017-11,86.46,1.9,7.5,13.1,2.7,0.3,7.9
14,-123.0283,42.1762,598,2017-12,27.66,-1.9,2.9,7.7,-2.2,0.58,4.83
14,-123.0283,42.1762,598,2018-01,63.28,1,5.5,9.9,2.1,0.24,4.86
14,-123.0283,42.1762,598,2018-02,32.85,-2.4,4.2,10.7,-1.8,0.38,7.71
14,-123.0283,42.1762,598,2018-03,68.07,-0.3,6.2,12.8,-0.2,0.36,9.46
14,-123.0283,42.1762,598,2018-04,52.83,2.9,10.4,17.9,1.9,0.92,15.03
14,-123.0283,42.1762,598,2018-05,45.32,7.1,15.6,24.1,6.8,1.01,21.59
14,-123.0283,42.1762,598,2018-06,15.81,8,17.2,26.4,6.4,1.75,26.94
14,-123.0283,42.1762,598,2018-07,1.99,12.6,22.9,33.1,7.6,4.65,42.21
14,-123.0283,42.1762,598,2018-08,0,11.3,21.6,32,7.5,3.07,38.75
14,-123.0283,42.1762,598,2018-09,5.06,6.6,16.6,26.6,3.4,2.45,28.75
14,-123.0283,42.1762,598,2018-10,28.2,4.3,12.5,20.7,2.2,1.4,17.86
14,-123.0283,42.1762,598,2018-11,42.94,0.4,7.4,14.4,-1.1,1.01,10.36
14,-123.0283,42.1762,598,2018-12,101.12,-0.9,3.6,8.1,0,0.18,4.12
14,-123.0283,42.1762,598,2019-01,108.14,-0.1,4.6,9.3,-0.1,0.53,5.39
14,-123.0283,42.1762,598,2019-02,155.45,-2.1,2.2,6.5,-1.8,0.29,4.19
14,-123.0283,42.1762,598,2019-03,29.92,-0.4,6.5,13.5,-0.6,0.53,10.43
14,-123.0283,42.1762,598,2019-04,81.52,4.6,11.3,18,4,0.83,13.6
14,-123.0283,42.1762,598,2019-05,52.03,5.9,14.1,22.3,3.9,1.42,20.76
14,-123.0283,42.1762,598,2019-06,0,8.9,18.6,28.2,5.9,2.65,31.11
14,-123.0283,42.1762,598,2019-07,0,11.4,20.9,30.3,8.8,2.92,33.01
14,-123.0283,42.1762,598,2019-08,30,12.5,21.9,31.3,9.9,2.86,35.73
14,-123.0283,42.1762,598,2019-09,50.82,9.1,16.8,24.5,8.5,1.35,22.52
14,-123.0283,42.1762,598,2019-10,15.91,1.2,9.6,18,-0.3,0.95,15.16
14,-123.0283,42.1762,598,2019-11,17.93,-0.1,7.5,15,-0.1,1.22,11.3
14,-123.0283,42.1762,598,2019-12,82.99,0.1,4,7.9,0.4,0.34,3.97
14,-123.0283,42.1762,598,2020-01,114.49,0.4,4.5,8.6,1.1,0.18,4.31
14,-123.0283,42.1762,598,2020-02,14.15,-2.3,5.1,12.4,-1.9,0.57,9.36
14,-123.0283,42.1762,598,2020-03,27.83,-0.7,6.5,13.7,-0.3,0.51,10.49
14,-123.0283,42.1762,598,2020-04,12.1,3.2,11.2,19.3,2.1,0.98,16.45
14,-123.0283,42.1762,598,2020-05,68.25,5.9,14.3,22.7,5,1.31,21.02
14,-123.0283,42.1762,598,2020-06,34.22,9.5,17.5,25.4,8.4,1.74,24.27
14,-123.0283,42.1762,598,2020-07,0,11.8,21.6,31.5,8,3.52,37.12
14,-123.0283,42.1762,598,2020-08,0,12.3,22.3,32.4,7.6,4.24,39.01
14,-123.0283,42.1762,598,2020-09,3.06,9.1,19.1,29.1,4.7,3.68,33.13
14,-123.0283,42.1762,598,2020-10,5.85,3.7,13.6,23.4,1.9,1.82,22.65
14,-123.0283,42.1762,598,2020-11,89.12,0,5.9,11.7,0.4,0.75,8.12
14,-123.0283,42.1762,598,2020-12,105.33,-1.2,3.5,8.3,-0.6,0.43,4.86
14,-123.0283,42.1762,598,2021-01,67.51,-0.3,4,8.3,0.2,0.41,4.44
14,-123.0283,42.1762,598,2021-02,64.76,-1,4.4,9.8,-0.9,0.42,5.85
14,-123.0283,42.1762,598,2021-03,46.44,-1.5,6.1,13.7,-1.9,0.53,10.48
14,-123.0283,42.1762,598,2021-04,2.6,1.4,11.2,21,-1.6,1.32,20.69
14,-123.0283,42.1762,598,2021-05,4.19,5.6,14.5,23.4,2.7,1.64,22.92
14,-123.0283,42.1762,598,2021-06,28.91,11.4,20.8,30.2,7.5,3.34,36.38
14,-123.0283,42.1762,598,2021-07,9.34,13.4,23.9,34.4,8.8,4.12,44.26
14,-123.0283,42.1762,598,2021-08,5.03,11.3,21.7,32.1,8.1,3.44,38.87
14,-123.0283,42.1762,598,2021-09,38.92,7.6,17.7,27.8,4.5,2.19,30.82
14,-123.0283,42.1762,598,2021-10,90.07,3.7,11,18.2,3.7,0.76,13.03
14,-123.0283,42.1762,598,2021-11,35.6,1.4,6.9,12.3,2.7,0.34,6.67
14,-123.0283,42.1762,598,2021-12,133.07,-0.6,2.8,6.3,-0.1,0.32,3.39
14,-123.0283,42.1762,598,2022-01,31.98,-2,5.3,12.5,-1.7,0.62,8.66
14,-123.0283,42.1762,598,2022-02,7.37,-2.4,5.3,13,-3.2,1.02,9.95
14,-123.0283,42.1762,598,2022-03,43.69,0.5,8.3,16.1,0.4,0.62,12.33
14,-123.0283,42.1762,598,2022-04,78.37,0.1,7.3,14.6,-0.4,0.6,11.42
14,-123.0283,42.1762,598,2022-05,33.27,3.7,11,18.4,2.8,0.98,14.93
14,-123.0283,42.1762,598,2022-06,36.5,8.6,17.1,25.6,6.3,1.99,24.81
14,-123.0283,42.1762,598,2022-07,12.09,12.9,23.2,33.6,9.5,3.35,40.65
14,-123.0283,42.1762,598,2022-08,12.44,13.7,23.8,33.9,8.8,4.09,41.6
14,-123.0283,42.1762,598,2022-09,7.16,9.7,19.5,29.3,6.2,2.77,33.87
14,-123.0283,42.1762,598,2022-10,16.99,5.1,15.1,25.1,3.1,1.9,26.31
14,-123.0283,42.1762,598,2022-11,76.19,-1.3,4.7,10.7,-1.4,0.58,7.15
14,-123.0283,42.1762,598,2022-12,152.07,-1,3.3,7.5,-0.4,0.29,4.08
14,-123.0283,42.1762,598,2023-01,50.81,-1,4,9,-1.1,0.45,5.56
14,-123.0283,42.1762,598,2023-02,43.19,-3.2,3.3,9.8,-3.5,0.57,7.53
14,-123.0283,42.1762,598,2023-03,87.47,-2,3.7,9.4,-1.8,0.4,6.84
14,-123.0283,42.1762,598,2023-04,31.21,1.2,8.7,16.2,0.7,0.91,13.35
14,-123.0283,42.1762,598,2023-05,35.03,6.6,15.2,23.8,5.9,1.3,21.93
14,-123.0283,42.1762,598,2023-06,21.12,8.8,18.1,27.3,6.7,1.78,27.24
14,-123.0283,42.1762,598,2023-07,0,12.8,23.1,33.4,8.3,4.1,41.42
14,-123.0283,42.1762,598,2023-08,2.99,13.3,23.1,32.8,8.8,3.76,38.79
14,-123.0283,42.1762,598,2023-09,54.32,8.8,16.8,24.9,7.1,1.8,23.12
14,-123.0283,42.1762,598,2023-10,27.75,5.5,12.5,19.4,6.3,0.82,13.88
14,-123.0283,42.1762,598,2023-11,51.87,1.5,7.5,13.4,2.7,0.46,7.88
14,-123.0283,42.1762,598,2023-12,83.46,2.5,6.4,10.3,2.8,0.52,5.09
14,-123.0283,42.1762,598,2024-01,124.59,2.8,6.2,9.6,3.4,0.37,4.29
14,-123.0283,42.1762,598,2024-02,47.86,0.7,5.7,10.8,1.8,0.25,6.07
14,-123.0283,42.1762,598,2024-03,103.69,0.3,6.5,12.6,0.8,0.46,9.43
14,-123.0283,42.1762,598,2024-04,35.48,2.3,9.8,17.3,1.7,0.98,13.34
14,-123.0283,42.1762,598,2024-05,31.39,4.4,13.1,21.9,3.5,1.34,19.5
14,-123.0283,42.1762,598,2024-06,3.16,9.2,18,26.9,6.8,2.37,26.48
14,-123.0283,42.1762,598,2024-07,1.22,13.7,23.9,34.2,8.7,5.14,43.47
14,-123.0283,42.1762,598,2024-08,19.52,11.7,20.9,30,9.1,3.12,32.43
14,-123.0283,42.1762,598,2024-09,3.27,9.9,19.2,28.5,6.9,3.07,31.26
14,-123.0283,42.1762,598,2024-10,27.32,5.5,13.6,21.6,4.4,1.6,19.15
,,,,,,,,,,,
32,-122.5694,42.462,783,2010-02,34.93,1,5.7,10.5,0.4,0.52,6.28
32,-122.5694,42.462,783,2010-03,78.71,0.4,6.8,13.2,-0.8,0.83,9.16
32,-122.5694,42.462,783,2010-04,108.52,0.4,6.5,12.6,-0.3,0.56,9.4
32,-122.5694,42.462,783,2010-05,67.61,2.8,9.1,15.5,1.8,0.76,11.24
32,-122.5694,42.462,783,2010-06,47.12,7.9,14.8,21.7,6.6,1.34,17.24
32,-122.5694,42.462,783,2010-07,2.24,12.8,21.6,30.4,7.9,5.07,34.51
32,-122.5694,42.462,783,2010-08,17.03,11.9,20.4,28.9,6.8,4.69,32.57
32,-122.5694,42.462,783,2010-09,30.91,9.9,17.2,24.5,7,2.33,21.84
32,-122.5694,42.462,783,2010-10,81.75,6.1,12.7,19.2,4.1,1.94,15.54
32,-122.5694,42.462,783,2010-11,93.86,1.1,4.8,8.5,1.8,0.47,4.4
32,-122.5694,42.462,783,2010-12,157.47,0.6,4,7.5,0.9,0.38,3.77
32,-122.5694,42.462,783,2011-01,52.67,0,4.5,9,-0.7,0.7,5.44
32,-122.5694,42.462,783,2011-02,47.89,-1.8,3.3,8.3,-2.8,0.69,6.22
32,-122.5694,42.462,783,2011-03,174.22,0.3,4.4,8.5,0.7,0.31,4.61
32,-122.5694,42.462,783,2011-04,120.93,0,5.7,11.4,0.4,0.33,7.31
32,-122.5694,42.462,783,2011-05,85.62,2.7,9.2,15.6,2.2,0.54,11.39
32,-122.5694,42.462,783,2011-06,48.82,7.4,14.5,21.6,6.1,1.39,17.6
32,-122.5694,42.462,783,2011-07,24.17,11.4,18.8,26.1,9.1,2.5,23.26
32,-122.5694,42.462,783,2011-08,0.01,13.2,21.5,29.8,9.6,3.64,31
32,-122.5694,42.462,783,2011-09,1.58,12,20.4,28.7,5.8,5.84,32.17
32,-122.5694,42.462,783,2011-10,37.66,5.8,12,18.2,4.5,1.24,12.64
32,-122.5694,42.462,783,2011-11,77.85,1,5,8.9,0.5,0.52,5.07
32,-122.5694,42.462,783,2011-12,36.97,-2.2,3.6,9.4,-4.1,1.06,6.94
32,-122.5694,42.462,783,2012-01,105.43,-0.1,4.1,8.3,-1.7,0.87,5.5
32,-122.5694,42.462,783,2012-02,67.26,-0.6,4.2,9.1,-1.3,0.66,6.01
32,-122.5694,42.462,783,2012-03,162.18,-0.8,4.2,9.1,-0.8,0.47,6.04
32,-122.5694,42.462,783,2012-04,104.61,2.8,8.8,14.9,2.6,0.61,10.72
32,-122.5694,42.462,783,2012-05,49.5,4.8,12.3,19.7,3,1.55,17.25
32,-122.5694,42.462,783,2012-06,73.4,7.2,14.3,21.5,6.2,1.31,17.61
32,-122.5694,42.462,783,2012-07,12.11,12.5,20.4,28.3,9.7,2.86,27.44
32,-122.5694,42.462,783,2012-08,1.12,14.1,22.8,31.5,7.8,5.9,37.51
32,-122.5694,42.462,783,2012-09,0,11.4,20.3,29.1,4,6.26,33.69
32,-122.5694,42.462,783,2012-10,96.02,6.9,13,19.2,3.4,2.57,15.9
32,-122.5694,42.462,783,2012-11,172.69,3.3,7.1,10.9,3.5,0.56,5.3
32,-122.5694,42.462,783,2012-12,190.47,-1.2,1.6,4.4,0,0.12,1.94
32,-122.5694,42.462,783,2013-01,41.2,-2.2,2.4,7.1,-3.3,1.05,5.46
32,-122.5694,42.462,783,2013-02,21.44,-1.4,3.9,9.3,-1.4,0.42,6.11
32,-122.5694,42.462,783,2013-03,25.06,1.2,7.8,14.4,0.7,0.63,9.59
32,-122.5694,42.462,783,2013-04,68.98,2.7,9.3,15.9,1.6,1.02,11.07
32,-122.5694,42.462,783,2013-05,52.7,6.5,13.3,20,3.9,1.71,16.16
32,-122.5694,42.462,783,2013-06,21.08,9.4,17.2,25.1,6.9,2.29,21.79
32,-122.5694,42.462,783,2013-07,0,15.1,23.9,32.7,8.1,6.82,39.57
32,-122.5694,42.462,783,2013-08,27.47,13.1,20.9,28.6,9.4,3.45,28.95
32,-122.5694,42.462,783,2013-09,88.33,10.5,17,23.5,7.4,2.96,22.02
32,-122.5694,42.462,783,2013-10,10.85,4.5,11,17.5,1.6,2.34,13.93
32,-122.5694,42.462,783,2013-11,48.8,1.9,6.7,11.5,0.5,1.33,6.97
32,-122.5694,42.462,783,2013-12,16.65,-2.5,1.9,6.2,-4.4,1.12,4.9
32,-122.5694,42.462,783,2014-01,30.84,1.8,6.3,10.8,-1.9,1.94,7.81
32,-122.5694,42.462,783,2014-02,122.15,0.7,5.6,10.5,1.2,0.35,5.59
32,-122.5694,42.462,783,2014-03,126.59,2.2,7.6,12.9,0.8,0.86,8.65
32,-122.5694,42.462,783,2014-04,64.9,2.6,9.4,16.3,1.9,0.74,12.51
32,-122.5694,42.462,783,2014-05,36.79,6.9,14.1,21.2,4,1.99,18.81
32,-122.5694,42.462,783,2014-06,18.11,8.5,16.4,24.2,5.6,2.22,21.96
32,-122.5694,42.462,783,2014-07,11.61,15.8,24.2,32.6,9.8,5.81,38.65
32,-122.5694,42.462,783,2014-08,10.24,14.9,22.5,30.1,9.1,5.28,32.78
32,-122.5694,42.462,783,2014-09,52.71,12.6,20,27.4,5.3,5.55,29.48
32,-122.5694,42.462,783,2014-10,99.07,7.9,13.9,19.9,5.6,2.25,15.76
32,-122.5694,42.462,783,2014-11,85.46,3.7,7.5,11.3,2.9,0.7,5.55
32,-122.5694,42.462,783,2014-12,100.4,2.1,5.3,8.5,2.8,0.23,3.28
32,-122.5694,42.462,783,2015-01,36.88,2.9,7.3,11.7,0.8,1.5,6.84
32,-122.5694,42.462,783,2015-02,104.37,3.2,8.1,13.1,0.5,1.31,8.53
32,-122.5694,42.462,783,2015-03,64.81,3.2,9.6,16,2.1,0.96,11.53
32,-122.5694,42.462,783,2015-04,39.18,1.9,8.6,15.3,1,0.91,11.97
32,-122.5694,42.462,783,2015-05,51.11,6.8,13.4,20.1,5,1.5,15.65
32,-122.5694,42.462,783,2015-06,10.61,11.9,20.4,29,7.7,3.95,30.82
32,-122.5694,42.462,783,2015-07,20.65,15,22.6,30.3,9.1,5.64,33.42
32,-122.5694,42.462,783,2015-08,8.37,14.4,22.3,30.1,7.3,6.17,34.15
32,-122.5694,42.462,783,2015-09,7.73,10,17.7,25.4,5.3,3.8,25.64
32,-122.5694,42.462,783,2015-10,20.93,9,15.5,21.9,5,3.08,18.88
32,-122.5694,42.462,783,2015-11,81.1,1,4.9,8.8,0.5,0.59,4.52
32,-122.5694,42.462,783,2015-12,281.96,0,2.8,5.5,0.5,0.25,2.48
32,-122.5694,42.462,783,2016-01,134.69,0.2,4,7.7,0.2,0.3,4.06
32,-122.5694,42.462,783,2016-02,46.65,2.3,7.2,12.1,1.5,0.84,7.53
32,-122.5694,42.462,783,2016-03,136.91,2,6.7,11.3,1.9,0.55,6.82
32,-122.5694,42.462,783,2016-04,55.12,5,11.8,18.6,3.5,1.31,15.14
32,-122.5694,42.462,783,2016-05,27.11,6.9,13.7,20.6,5.2,1.48,16.17
32,-122.5694,42.462,783,2016-06,28.81,10.3,18.1,25.9,6.8,3.03,25.55
32,-122.5694,42.462,783,2016-07,19.21,12,20.2,28.3,8.6,3.24,28.59
32,-122.5694,42.462,783,2016-08,0,14.3,23,31.8,5.9,7.1,39.34
32,-122.5694,42.462,783,2016-09,5.45,9.4,17.3,25.2,4.6,3.39,23.64
32,-122.5694,42.462,783,2016-10,224.26,5.7,10.1,14.6,5.9,0.61,7.79
32,-122.5694,42.462,783,2016-11,79.69,4.6,8.3,12,3.5,0.99,6.62
32,-122.5694,42.462,783,2016-12,126.68,-2.5,1.1,4.8,-1.5,0.25,2.62
32,-122.5694,42.462,783,2017-01,141.69,-2.1,2,6.1,-2.5,0.56,4.43
32,-122.5694,42.462,783,2017-02,153.86,0.9,4.7,8.5,0.6,0.53,4.9
32,-122.5694,42.462,783,2017-03,112.34,2.1,6.4,10.8,2.9,0.27,5.61
32,-122.5694,42.462,783,2017-04,95.36,1.8,7.5,13.1,1.6,0.51,8.49
32,-122.5694,42.462,783,2017-05,48.84,6.4,13.9,21.4,4.5,1.8,19.14
32,-122.5694,42.462,783,2017-06,25.66,10.5,17.7,24.9,7.6,2.91,23.8
32,-122.5694,42.462,783,2017-07,0.86,14.8,23.1,31.4,9.3,5.2,34.52
32,-122.5694,42.462,783,2017-08,7.82,15.6,23.8,32,8.5,6.69,38.12
32,-122.5694,42.462,783,2017-09,27.18,11.2,18,24.8,6.9,4.24,23.67
32,-122.5694,42.462,783,2017-10,55.82,5.1,11.5,17.8,2.3,2.03,13.6
32,-122.5694,42.462,783,2017-11,121.88,2.4,6,9.6,2.9,0.42,4.49
32,-122.5694,42.462,783,2017-12,24.59,-0.3,4.4,9.2,-1.9,1.31,6.42
32,-122.5694,42.462,783,2018-01,62.31,2,5.9,9.8,2,0.5,4.93
32,-122.5694,42.462,783,2018-02,33.17,-1.8,3.4,8.6,-1.5,0.41,5.8
32,-122.5694,42.462,783,2018-03,72.23,0.1,5.6,11.2,-0.5,0.54,8.15
32,-122.5694,42.462,783,2018-04,77.66,2.8,9,15.1,1.8,0.97,11.49
32,-122.5694,42.462,783,2018-05,33.62,7.6,14.6,21.6,6.6,1.33,16.86
32,-122.5694,42.462,783,2018-06,31.38,8.1,16.2,24.2,6.5,1.68,22
32,-122.5694,42.462,783,2018-07,2.92,13,22.4,31.9,7.5,4.77,38.13
32,-122.5694,42.462,783,2018-08,0,13.5,21.7,30,7.7,4.92,33.01
32,-122.5694,42.462,783,2018-09,7.27,8.6,17.1,25.5,3.5,3.67,26.3
32,-122.5694,42.462,783,2018-10,39.83,6,12.5,19.1,2.6,2.13,15.04
32,-122.5694,42.462,783,2018-11,53.32,1.9,7.5,13,-0.2,1.1,8.34
32,-122.5694,42.462,783,2018-12,104.06,-0.3,3.6,7.6,0,0.33,4.09
32,-122.5694,42.462,783,2019-01,92.5,1,5.4,9.8,-0.4,1.04,6.26
32,-122.5694,42.462,783,2019-02,152.12,-1.7,1.7,5.1,-1.9,0.42,3.3
32,-122.5694,42.462,783,2019-03,49.68,0,6.1,12.2,-1.2,0.86,9.23
32,-122.5694,42.462,783,2019-04,131.08,4.3,10,15.7,3.6,0.88,10.71
32,-122.5694,42.462,783,2019-05,52.23,6.1,13.2,20.3,3.6,1.82,17.22
32,-122.5694,42.462,783,2019-06,0.9,9,17.6,26.3,5.6,2.88,26.49
32,-122.5694,42.462,783,2019-07,0,12,20.4,28.8,8.8,3.17,29.15
32,-122.5694,42.462,783,2019-08,28.36,14.2,22.2,30.2,9.8,4.07,32.45
32,-122.5694,42.462,783,2019-09,63.74,10.1,16.3,22.5,8.6,1.53,18.13
